facility_id,duration,flag,severity,detail
TX00002,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 5.4%)
IA03708,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.9%)
NY01270,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 15.1%)
NE01096,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.3%)
LA00534,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.6%)
TX00003,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 5.4%)
WA00351,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 15.8%)
NE02565,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 6.5%)
NE00005,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 8.3%)
NE01674,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 7.5%)
ND00127,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 34.4%)
NE00975,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.0%)
OH00032,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 30.5%)
VT00084,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 15.7%)
NE01116,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.3%)
MO10472,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 8.6%)
CO00156,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.4%)
OH00065,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 27.6%)
ID00194,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 21.0%)
MI00332,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 21.9%)
ND00015,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 29.9%)
MO30729,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 18.2%)
TX05651,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 15.6%)
NE00125,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.5%)
NE00970,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.5%)
NE01525,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.6%)
NE00122,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.5%)
NE00984,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.8%)
NE00959,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.7%)
NE00985,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.0%)
NE00129,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 6.7%)
NE00968,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 2.0%)
NE00124,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.5%)
NE00202,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.9%)
NE00314,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.9%)
NE00203,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.9%)
NE00123,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.5%)
AK00030,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 16.1%)
CO00764,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 5.9%)
CO02869,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 5.9%)
WI00486,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 11.8%)
