"site","site_id","duration","dist","T","growth_factor","depth_mm"
"FOSS RESERVOIR","OK02503","72h","GNO",10000,3.581,308.4
"FOSS RESERVOIR","OK02503","72h","GLO",10000,5.3216,458.3
"LAKE TAHOE","CA10162","24h","GPA",10000,2.46,205.78
"LAKE TAHOE","CA10162","24h","PE3",10000,3.5619,297.95
"LAKE TAHOE","CA10162","24h","GNO",10000,4.1082,343.65
"LAKE TAHOE","CA10162","24h","GEV",10000,4.3526,364.1
"LAKE TAHOE","CA10162","24h","GLO",10000,6.4249,537.44
"LAKE TAHOE","CA10162","72h","GPA",10000,2.6975,362.68
"LAKE TAHOE","CA10162","72h","PE3",10000,3.9125,526.03
"LAKE TAHOE","CA10162","72h","GNO",10000,4.5732,614.86
"LAKE TAHOE","CA10162","72h","GEV",10000,4.9099,660.13
"LAKE TAHOE","CA10162","72h","GLO",10000,7.2836,979.27
"CEDAR BLUFF","KS00019","24h","GPA",10000,2.5069,165.09
"CEDAR BLUFF","KS00019","24h","PE3",10000,3.6213,238.47
"CEDAR BLUFF","KS00019","24h","GNO",10000,4.1941,276.19
