state,facility_id,lat,lon,covered,atlas,volume,version,project_area,series_type,units,n_durations,durations
KY,KY00409,38.557919,-83.652335,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
KY,KY01157,36.757636,-85.18055556,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
LA,LA00369,32.665,-92.673,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
LA,LA00131,30.53737,-90.11039,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MA,MA01105,42.4008,-71.2916,True,14.0,10.0,3.0,Northeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MA,MA01337,42.60997841,-70.70182406,True,14.0,10.0,3.0,Northeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MD,MD00028,38.2519,-76.5344,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MD,MD00351,39.1045,-76.804,True,14.0,2.0,3.0,Ohio River Basin,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
ME,ME00129,45.2184,-70.4755,True,14.0,10.0,3.0,Northeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
ME,ME00225,46.51839,-67.866471,True,14.0,10.0,3.0,Northeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MI,MI00117,42.79138889,-83.84166667,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MI,MI00284,44.16833333,-84.02666667,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MN,MN00438,44.225,-92.525,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MN,MN00814,47.2792,-92.2213,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MO,MO10383,39.11685373,-92.07736057,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MO,MO50840,40.34900121,-94.70847938,True,14.0,8.0,2.0,Midwestern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MS,MS03069,34.757669,-89.40212,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MS,MS03598,32.1864189,-90.28418166,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MT,MT82919,45.13,-112.7406,True,14.0,12.0,2.0,Interior Northwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
MT,MT01617,46.5333,-105.7468,True,14.0,12.0,2.0,Interior Northwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
